day,brand,merchant_id,grade,score,theme,site_category,article_angle,main_products,brand_role,promo_link,store_link,tracking_status
88,RED HOUSE 家具工廠,TP0007407,B,73.0,home-ritual-lifestyle,lifestyle-culture,商品清單、尺寸動線,可代客付費上門安裝 歐式、家用楠竹鞋櫃 透氣防潮大、戶外大號方形桌椅 鋁合金、戶外月亮椅 野營自駕遊躺、現貨 鞋櫃 簡易大容量鞋、鋼制鞋櫃收納櫃一體靠牆防、鞋架家用門口大容量多層室、鞋櫃家用進門口門外大容量,推薦店家,https://s.momoshop.com.tw/s/5ME3fNxI,https://www.momoshop.com.tw/TP/TP0007407/main,planned
89,楡青企業社,TP0003642,B,70.0,home-ritual-lifestyle,lifestyle-culture,商品清單、尺寸動線,分類垃圾桶 家用廚房客廳、床头靠枕大靠背垫床上靠背、意式輕奢臥室全實木大尺寸、批老板辦公桌椅組合雙櫃簡、日式橡木全實木衣櫃現代簡、納米水槽日式大單槽圓弧多、美式復古陶瓷水槽大單槽臺、遮陽四方大傘 擺攤雨傘 ,推薦店家,,https://www.momoshop.com.tw/TP/TP0003642/main,planned
90,藤木居家具,TP0005709,B,70.0,home-ritual-lifestyle,lifestyle-culture,商品清單、尺寸動線,古風極簡真皮床高端雙人主、可定製現代簡約鞋架大氣日、可折疊收納箱家用大號衣服、水泥花盆長方形瓷盆花卉植、法式輕奢實木床 美式主臥、真皮床主臥大床婚床雙人1、真皮軟包實木大床意式輕奢、防塵鞋櫃家用大容量玄關櫃,推薦店家,https://s.momoshop.com.tw/s/9m6ins50,https://www.momoshop.com.tw/TP/TP0005709/main,planned
91,☁凌雲家居,TP0003625,B,70.0,home-ritual-lifestyle,lifestyle-culture,商品清單、尺寸動線,免安装多层折叠鞋盒aj透、加厚收納櫃家用透明可開門、大容量卡通创意透明抽屉笔、家用门口防尘现代简易鞋柜、實木餐桌衚桃木色客廳大長、衣服收纳箱家用大容量翻盖、輕奢床主臥真皮床雙人床1、鞋柜楠竹鞋架子简易多层鞋,推薦店家,https://s.momoshop.com.tw/s/qLt9lZY6,https://www.momoshop.com.tw/TP/TP0003625/main,planned
92,佑澄企業社,TP0006860,B,68.0,home-ritual-lifestyle,lifestyle-culture,商品清單、尺寸動線,夾縫收納櫃 多層大容量加、床头靠枕大靠背垫床上靠背、廚房家用不銹鋼水單帶支架、收納櫃 客廳置物櫃 餐邊、放包包收納櫃臥室置物架包、簡約儲物櫃 多層大容量抽、靠枕床头沙发大靠背护颈护、韓系極簡收納櫃 大容量設,推薦店家,,https://www.momoshop.com.tw/TP/TP0006860/main,planned
93,悅家傢具城,TP0006481,B,68.0,home-ritual-lifestyle,lifestyle-culture,商品清單、尺寸動線,圓弧門楠竹鞋櫃 大容量多、批發大床頭櫃加大號80大、衣服收納箱 大容量家用翻、輕奢鞋櫃坐凳一體 大容量、門口簡約鞋架 大容量多層、雨傘架 雨傘收納架商用大、鞋櫃 大容量簡易玄關櫃 、鞋櫃 鞋櫃玄關 加固門口,推薦店家,https://s.momoshop.com.tw/s/HnjPEoa8,https://www.momoshop.com.tw/TP/TP0006481/main,planned
94,景敦商行,TP0006669,B,68.0,home-ritual-lifestyle,lifestyle-culture,商品清單、尺寸動線,()垃圾桶家用大號庭院帶、前開式收納箱大容量特大號、廚房垃圾桶家用大號大容量、收納箱 大容量收纳箱 抽、茶花垃圾桶 大容量垃圾桶、長繩多人跳學生群體大繩集、雨傘收納大容量家用教室宿、鞋櫃 大碼加寬鋼製鞋櫃 ,推薦店家,,https://www.momoshop.com.tw/TP/TP0006669/main,planned
95,凱莎精選家具城,TP0004379,B,68.0,home-ritual-lifestyle,lifestyle-culture,商品清單、尺寸動線,免稅 意式極簡床 主臥軟、可定制尺寸聯繫客服報價 、廚房置物架抽拉式蔬菜儲物,推薦店家,https://s.momoshop.com.tw/s/FlSH3Hd7,https://www.momoshop.com.tw/TP/TP0004379/main,planned
96,FUN HOUSE,GOODS-fun-house,B,68.0,home-ritual-lifestyle,lifestyle-culture,商品清單、尺寸動線,120L/123L大容量、123L大容量帶輪折疊收,推薦店家,,https://s.momoshop.com.tw/s/XnvZiLIk,planned
97,森活家居選物,TP0006092,B,66.0,home-ritual-lifestyle,lifestyle-culture,商品清單、尺寸動線,()垃圾桶家用大號庭院帶、前開式收納箱大容量特大號、家用門口實木鞋櫃/大容量、床底扁平收納箱 帶滑輪大、廚房垃圾桶家用大號大容量、茶花垃圾桶 大容量垃圾桶、長繩多人跳學生群體大繩集、雨傘收納大容量家用教室宿,推薦店家,https://s.momoshop.com.tw/s/3PsN17qw,https://www.momoshop.com.tw/TP/TP0006092/main,planned
98,蝸居客製,TP0003624,B,66.0,home-ritual-lifestyle,lifestyle-culture,商品清單、尺寸動線,「小宅救星｜實木折疊餐桌、免安裝 大容量 鞋架子 、北歐風 髒衣籃 浴室 髒、鞋架 宿舍簡易 鞋子儲物、鞋櫃 大容量鞋櫃 小戶型、鞋櫃 意式鋼製鞋櫃 鞋架、鞋櫃 鞋架子 多層鞋櫃 、髒衣籃 大開口 衣物 裝,推薦店家,https://s.momoshop.com.tw/s/FKhErjDB,https://www.momoshop.com.tw/TP/TP0003624/main,planned
99,森格諾傢居,TP0003585,B,65.0,home-ritual-lifestyle,lifestyle-culture,商品清單、尺寸動線,全實木床簡約實木床現代雙、北歐客廳大長書桌客廳實木、家用垃圾桶 大號大容量廚、批老板辦公桌椅組合雙櫃簡、新中式酒店餐桌大圓桌轉盤、水泥花盆長方形瓷盆花卉植、開發票戶外垃圾桶 回收桶,推薦店家,https://s.momoshop.com.tw/s/LS5IiBK6,https://www.momoshop.com.tw/TP/TP0003585/main,planned
100,輕氧家居,TP0008114,B,64.0,home-ritual-lifestyle,lifestyle-culture,商品清單、尺寸動線,輕氧熱銷款台灣現貨｜智能,推薦店家,https://s.momoshop.com.tw/s/UEpfLxKx,https://www.momoshop.com.tw/TP/TP0008114/main,planned
